Mach,CD Power-On
6,0.82881728
6.01,0.828427976
6.02,0.828074651
6.03,0.827722103
6.04,0.827370328
6.05,0.827019328
6.06,0.826669094
6.07,0.826319629
6.08,0.825970926
6.09,0.825622987
6.1,0.825275804
6.11,0.82492928
6.12,0.824583607
6.13,0.824238686
6.14,0.823894414
6.15,0.823550888
6.16,0.823208207
6.17,0.822866165
6.18,0.822524863
6.19,0.822184296
6.2,0.821844464
6.21,0.821505362
6.22,0.821166991
6.23,0.820829343
6.24,0.820492322
6.25,0.82015602
6.26,0.819820538
6.27,0.819485673
6.28,0.819151522
6.29,0.818817984
6.3,0.818485254
6.31,0.818153132
6.32,0.817821815
6.33,0.817491101
6.34,0.817161086
6.35,0.816831771
6.36,0.816503049
6.37,0.816175022
6.38,0.815847685
6.39,0.815521038
6.4,0.815195076
6.41,0.8148698
6.42,0.814545105
6.43,0.814221088
6.44,0.813897752
6.45,0.813575089
6.46,0.813253001
6.47,0.812931682
6.48,0.812610833
6.49,0.81229075
6.5,0.811971232
6.51,0.811652475
6.52,0.811334279
6.53,0.811016641
6.54,0.81069976
6.55,0.81038343
6.56,0.810067753
6.57,0.809752626
6.58,0.809438246
6.59,0.809124412
6.6,0.80881112
6.61,0.80849857
6.62,0.808186559
6.63,0.807875086
6.64,0.807564347
6.65,0.80725424
6.66,0.806944566
6.67,0.806635619
6.68,0.806327201
6.69,0.806019407
6.7,0.805712237
6.71,0.805405586
6.72,0.805099556
6.73,0.804794142
6.74,0.804489244
6.75,0.804184959
6.76,0.803881286
6.77,0.803578121
6.78,0.803275563
6.79,0.802973512
6.8,0.802672064
6.81,0.802371218
6.82,0.802070871
6.83,0.801771124
6.84,0.801471971
6.85,0.801173314
6.86,0.800875248
6.87,0.800577773
6.88,0.800280787
6.89,0.799984288
6.9,0.799688473
6.91,0.799393143
6.92,0.799098293
6.93,0.798804123
6.94,0.798510331
6.95,0.798217215
6.96,0.797924474
6.97,0.797632405
6.98,0.797340808
6.99,0.797049778
7,0.796774467
7.01,0.796531301
7.02,0.796289039
7.03,0.796047469
7.04,0.795806589
7.05,0.795566509
